participant,participant_unique_id,birth_date,date,experiment_name,session,loop,trial_id_global,running_index,task_type,trial_type,legality,sentence_complexity,target_sentence,foil_sentence,sentence_frame,foil_sentence_frame,previous_encounters,target_video,foil_video,audio,t_start,t_end,reaction_time,correct_response,response,accuracy
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,31,31,Passive,,legal,3,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N4-PUSH-TR-LOC-N2.mp4,,LOC-N2-OBJ-N5-SBJ-N4-PUSH-TR.mp3,1119.4147,1146.3281,26.91339999999991,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,32,32,Passive,,legal,3,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N1.mp4,,LOC-N1-OBJ-N5-SBJ-N4-HIDE-TR.mp3,1146.3301,1182.2094,35.87930000000006,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,33,33,Passive,,legal,2,Ab SBJ.N2 JUMP-INTR,,SBJ-V.INTR,,0,Ab-SBJ-N2-JUMP-INTR.mp4,,JUMP-INTR-Ab-SBJ-N2.mp3,1182.2106,1202.635,20.424399999999878,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,34,34,Passive,,legal,3,OBJ.N5 Ab SBJ.N4 REVEAL-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-Ab-SBJ-N4-REVEAL-TR.mp4,,OBJ-N5-Ab-SBJ-N4-REVEAL-TR.mp3,1202.6376,1221.4067,18.76909999999998,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,35,35,Passive,,legal,3,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N3-PUSH-TR-LOC-N1.mp4,,PUSH-TR-LOC-N1-OBJ-N5-SBJ-N3.mp3,1221.4082,1241.8492,20.44100000000003,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,36,36,Passive,,legal,2,Ab SBJ.N4 HIDE-INTR,,SBJ-V.INTR,,0,Ab-SBJ-N4-HIDE-INTR.mp4,,HIDE-INTR-Ab-SBJ-N4.mp3,1241.8518,1252.1216,10.269800000000032,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,37,37,Passive,,legal,2,SBJ.N4 HIDE-INTR LOC.N1,,SBJ-V.INTR-LOC,,0,SBJ-N4-HIDE-INTR-LOC-N1.mp4,,HIDE-INTR-SBJ-N4-LOC-N1.mp3,1252.1245,1262.454,10.329500000000053,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,38,38,Passive,,legal,2,SBJ.N5 JUMP-INTR LOC.N2,,SBJ-V.INTR-LOC,,0,SBJ-N5-JUMP-INTR-LOC-N2.mp4,,JUMP-INTR-LOC-N2-SBJ-N5.mp3,1262.4555,1278.9373,16.48180000000002,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,39,39,Passive,,legal,2,SBJ.N5 GO-INTR LOC.N4,,SBJ-V.INTR-LOC,,0,SBJ-N5-GO-INTR-LOC-N4.mp4,,SBJ-N5-LOC-N4-GO-INTR.mp3,1278.9399,1291.6859,12.745999999999867,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,40,40,Passive,,legal,2,SBJ.N3 HIDE-INTR LOC.N4,,SBJ-V.INTR-LOC,,0,SBJ-N3-HIDE-INTR-LOC-N4.mp4,,LOC-N4-SBJ-N3-HIDE-INTR.mp3,1291.6887,1299.9517,8.263000000000147,,,
